Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Nexus disrupted: Lived realities and the water-energy-food nexus from an infrastructure perspective,"Bruns, A.; Meisch, S.; Ahmed, A.; Meissner, R.; Romero-Lankao, P.","In recent years, the water-energy-food nexus gained traction in science and policy debates to address the relationships between water, energy and food sectors. Inspired by Political Ecology thinking, we advocate for a nexus understanding that acknowledges the political nature of the concept and points to lived and experienced nexus realities. We draw on literature from heterogeneous infrastructures, giving attention to the socio-material entanglements that configure a nexus dynamically over time and space. We substantiate our conceptual arguments based on three different cases from Sub-Saharan Africa, that reveal the ways in which people access, maintain or disrupt infrastructure that links water, energy, and food systems. This may occur through practice forms of tinkering or improvisation of infrastructural components, intermediate (decentralised) technologies, through theft, or through some form of self-empowerment. Methodologically, the role of practices is emphasized as they help to understand Nexus heterogeneity and disparate forms of agency to (re-)configure a nexus. The findings demonstrate that the nexus is not just there but is constantly in-the-making. Practices stabilise, build, or alter differentiated nexus configurations within uneven nexus in/securities. Moreover, this article disrupts a “one-size-fits-all” nexus concept by offering a nuanced understanding of nexus realities that are more complex, heterogeneous, and plural than commonly described. Our analysis shows that re-thinking the nexus by focusing on people and practices draws the attention towards agency and change – and thus enables to identify leverage themes rendering a more just nexus. © 2022 The Authors",2022,,Geoforum,133,,79-88,,10.1016/j.geoforum.2022.05.007,,#56,Bruns 2022,"",""
Governing for Transformative Change across the Biodiversity-Climate-Society Nexus,"Pascual, U.; McElwee, P.D.; Diamond, S.E.; Ngo, H.T.; Bai, X.; Cheung, W.W.L.; Lim, M.; Steiner, N.; Agard, J.; Donatti, C.I.; Duarte, C.M.; Leemans, R.; Managi, S.; Pires, A.P.F.; Reyes-García, V.; Trisos, C.; Scholes, R.J.; Pörtner, H.-O.","Transformative governance is key to addressing the global environmental crisis. We explore how transformative governance of complex biodiversity-climate-society interactions can be achieved, drawing on the first joint report between the Intergovernmental Panel on Climate Change and the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services to reflect on the current opportunities, barriers, and challenges for transformative governance. We identify principles for transformative governance under a biodiversity-climate-society nexus frame using four case studies: forest ecosystems, marine ecosystems, urban environments, and the Arctic. The principles are focused on creating conditions to build multifunctional interventions, integration, and innovation across scales; coalitions of support; equitable approaches; and positive social tipping dynamics. We posit that building on such transformative governance principles is not only possible but essential to effectively keep climate change within the desired 1.5 degrees Celsius global mean temperature increase, halt the ongoing accelerated decline of global biodiversity, and promote human well-being. © 2022 The Author(s) 2022.",2022,,BioScience,72,7,684-704,,10.1093/biosci/biac031,,#58,Pascual 2022,"",""
"Social-ecological connections across land, water, and sea demand a reprioritization of environmental management","Gladstone-Gallagher, R.V.; Tylianakis, J.M.; Yletyinen, J.; Dakos, V.; Douglas, E.J.; Greenhalgh, S.; Hewitt, J.E.; Hikuroa, D.; Lade, S.J.; Heron, R.L.; Norkko, A.; Perry, G.L.W.; Pilditch, C.A.; Schiel, D.; Siwicka, E.; Warburton, H.; Thrush, S.F.","Despite many sectors of society striving for sustainability in environmental management, humans often fail to identify and act on the connections and processes responsible for social-ecological tipping points. Part of the problem is the fracturing of environmental management and social-ecological research into ecosystem domains (land, freshwater, and sea), each with different scales and resolution of data acquisition and distinct management approaches. We present a perspective on the social-ecological connections across ecosystem domains that emphasize the need for management reprioritization to effectively connect these domains.We identify critical nexus points related to the drivers of tipping points, scales of governance, and the spatial and temporal dimensions of social-ecological processes.We combine real-world examples and a simple dynamic model to illustrate the implications of slow management responses to environmental impacts that traverse ecosystem domains. We end with guidance on management and research opportunities that arise from this cross-domain lens to foster greater opportunity to achieve environmental and sustainability goals. © 2022 Georg Thieme Verlag. All rights reserved.",2022,,Elementa,10,1,,,10.1525/elementa.2021.00075,,#60,Gladstone-Gallagher 2022,"",""
"Food, Energy and Water Nexus: An Urban Living Laboratory Development for Sustainable Systems Transition","Soares Dal Poz, M.E.; de Arruda Ignácio, P.S.; Azevedo, A.; Francisco, E.C.; Piolli, A.L.; Gheorghiu da Silva, G.; Pereira Ribeiro, T.","From a climate change perspective, the governance of natural common-pool resources—the commons—is a key point in the challenge of transitioning to sustainability. This paper presents the main strategic advances of the São Paulo Urban Living Laboratory (ULL) regarding Food, Energy and Water (FEW Nexus) analysis and modelling at the border of a high biodiverse forest in a peri-urban region in southeast Brazil. It is a replicable and scalable method concerning FEW governance. The FEW Nexus is an analytical guide to actions that will enable a colossal set of innovative processes that the transition to sustainability presupposes. Sustainable governance of the FEW dimensions, seen as an innovation-based process, is approached by a decision making tool to understand the past and future dynamics of the system. The governance framework is based on a multi-criteria and multi-attribute set of sustainability-relevant factors used as indicators to model complex system dynamics (SD) and the stakeholders’ future expectations through a Delphi approach. Based on the three main dimensions of the Ecosystem Services Approach—Physical and Material Conditions, Attributes of Communities, and Rules-in-Use—the tool comprises thirteen specific sustainability indicators such as water and carbon footprints, land use social development, payment for ecosystem services, and land use gain indices. Its development was designed to generate a long-term network of socioenvironmental stakeholders’ decision making processes and collective learning about a higher level of sustainable systems. System Dynamics modelling demonstrates the associations between sustainability indicators and the impacts of payment for ecosystem services on the land use social development index, or on the trophic state index. The Delphi foresight approach, using the Promethee-Gaia method, allows us to understand the positions of multiple agents regarding the transition process. In this context, decision making tools can be very useful and effective in answering the “how to” questions of ULLs and paving the way for transition, providing collective planning and decision support frameworks for sustainability transition management. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022,,Sustainability,14,12,,,10.3390/su14127163,,#61,SoaresDalPoz 2022,"",""
Ten Years of Research on the Water-Energy-Food Nexus: An Analysis of Topics Evolution,"Lazaro, L.L.B.; Bellezoni, R.A.; Puppim de Oliveira, J.A.; Jacobi, P.R.; Giatti, L.L.","This study explores how the concept and research on the water-energy-food (WEF) nexus has evolved over time. The research uncovers the key terms underpinning the phenomenon, maps the interlinkages between WEF nexus topics, and provides an overview of the evolution of the concept of WEF nexus. We analyzed published academic literature from the Scopus database and performed both qualitative and quantitative analyses using Natural Language Processing method. The findings suggest that the nexus approach is increasingly evolving into an integrative concept, and has been incorporating new topics over time, resulting in different methods for WEF nexus research, with a focus on interdisciplinary and inter-sectoral analyses. Through the five periods outlined, we have identified the nexus approach debate focused on the following predominant topics: i) Trend 1 (2012–2016) debates on WEF nexus for water management and natural resource security, ii) Trend 2 (2017–2018) linkages between the nexus, the sustainable development goals and green economy, iii) Trend 3 (2019) WEF nexus governance and policy integration, iv) Trend 4 (2020) application of the nexus concept on different scales, including regions, countries, watersheds, urban areas as well as other components coupled to the WEF nexus, and, v) Trend 5 (2021) climate change and urban nexus challenges. Copyright © 2022 Lazaro, Bellezoni, Puppim de Oliveira, Jacobi and Giatti.",2022,,Front. Water.,4,,,,10.3389/frwa.2022.859891,,#65,Lazaro 2022,"",""
"What is climate security? Framing risks around water, food, and migration in the Middle East and North Africa","Daoudy, M.; Sowers, J.; Weinthal, E.","From academics to practitioners, many voices have amplified an increasingly popular narrative posing a climate–conflict–migration nexus. This essay reviews the literature on climate security, exploring the human security impacts of climate change in the Middle East and North Africa (MENA) with particular attention to the scholarly literature on vulnerability and adaptation. It also examines the policy implications of discourses that frame water, food, and climate-induced migration as security threats. This review highlights how incorporating human security perspectives from the fields of development and environmental justice into security studies more adequately illuminates complex issues of “climate security.” Drawing on the human security perspective, this review uses empirical material from the MENA to illustrate the enhanced analytical utility of moving beyond state-based framings of climate security to include communal and individual well-being. These alternative understandings of climate security offer promising venues for assessing differential vulnerability and adaptive capacities in the MENA region. This article is categorized under: Human Water > Water as Imagined and Represented Human Water > Water Governance. © 2022 Wiley Periodicals LLC.",2022,,Wiley Interdiscip. Rev.: Water,9,3,,,10.1002/wat2.1582,,#66,Daoudy 2022,"",""
The quest for sustainable forest bioenergy: win-win solutions for climate and biodiversity,"Giuntoli, J.; Barredo, J.I.; Avitabile, V.; Camia, A.; Cazzaniga, N.E.; Grassi, G.; Jasinevičius, G.; Jonsson, R.; Marelli, L.; Robert, N.; Agostini, A.; Mubareka, S.","The debate on forest bioenergy sustainability has been so far dominated by assessments made through the carbon emissions lens. The biodiversity perspective has been largely missing. The European Green Deal's ambitious targets have brought biodiversity and ecosystem condition restoration and conservation to the core of the EU's legislative portfolios. An opportunity to revisit some important governing texts with a biodiversity lens has therefore presented itself. In this study, we review the impacts on biodiversity and carbon emissions of specific bioenergy pathways that may be used to supply additional forest-based energy. We then synthesize our findings in a nexus matrix, plotting the pathways along a gradient of benefits through to detriments on the two dimensions to highlight win-win and lose-lose options. We found that some pathways do mitigate carbon emissions in the short-term while not deteriorating ecosystem condition. These include collecting fine woody debris within limits of locally established thresholds. We highlight the pathways that do little to mitigate carbon emissions and that are detrimental to ecosystems as well. These include removal of coarse woody debris and low stumps or the conversion of semi-natural, primary and old-growth forests to plantation forests with the purpose to produce bioenergy. We conclude that in the currently polarised debate an approach which unambiguously eliminates negative options is more fruitful than trying to find agreement on best options. Consequently, we present several governance measures that could limit the uptake of clearly undesirable pathways within Europe and we show that some lose-lose pathways are still considered “sustainable” within the European Green Deal. © 2022",2022,,Renewable Sustainable Energy Rev,159,,,,10.1016/j.rser.2022.112180,,#67,Giuntoli 2022,"",""
A Water-Centric Approach in the Assessment and Governance of the Water-Energy-Climate Change Nexus in South Africa,"Mathetsa, S.M.; Simatele, M.D.; Rampedi, I.T.","Water and energy interdependency, in the context of climate change, threatens security of these resources. Anecdotal evidence suggests that risks associated with the “Water-Energy-Climate Change” (WECC) nexus will affect all subsectors of the economy. Yet the WECC nexus has not received commensurate attention in research and policy. Some countries have begun identifying avenues to understand and forestall WECC impacts, but less so in developing countries. This has compromised the adaptive capacity and resilience of developing countries' economies to WECC impacts. This paper analyses existing literature, historical and contemporary secondary data on climate change, water and energy interdependency in South Africa. It outlines the interlinkages and implications of these three components on each other, particularly within the discourse of sustainable water resource management. The paper recommends water-centric approaches to improve evidence-based institutional and policy frameworks to address the myriad challenges of this nexus in a holistic and integrated manner. Copyright © 2022 Mathetsa, Simatele and Rampedi.",2022,,Front. Sustain. food Syst.,6,,,,10.3389/fsufs.2022.691704,,#70,Mathetsa 2022,"",""
The food water energy nexus in an urban context: Connecting theory and practice for nexus governance,"Tye, M.R.; Wilhelmi, O.V.; Pierce, A.L.; Sharma, S.; Nichersu, I.; Wróblewski, M.; Goszczyński, W.; Wendel, J.; Laborgne, P.; Heyder, M.","The growing body of literature on the Food-Water-Energy (FWE) nexus during the last decade covers a variety of disciplinary perspectives and spatial scales. However, to date the urban FWE nexus has received less attention. In this paper, we review the FWE nexus literature with the focus on urban scale and identify gaps in the scholarly knowledge base with regard to practical applications for the FWE nexus governance in cities. Our findings suggest that there is still a mismatch between theoretical nexus governance and community perceptions. Successful governance is an iterative process, necessitating stakeholder input, reflection and response. While research developing the body of urban FWE governance knowledge has increased rapidly, reflection on those results to unpack the nexus complexity and support different governance actors is still limited. We discuss an approach for making the FWE nexus connections more visible and practical by focusing on the urban governance actors and illustrating the intersecting interests and concerns of different actors within the food, water, and energy systems. Mapping the urban governance actors to the sub-elements of the FWE systems highlights common connections and overlapping interests, paving the road toward more integrated governance and participatory solutions. Identifying the tangible and intangible connections among governance actors also helps to reduce the ambiguity of the FWE nexus, and facilitates multi-stakeholder knowledge, data or resources sharing. The resultant approach aims to disaggregate the complexity of the FWE nexus and make its governance more attainable in cities. © 2022 The Authors",2022,,Earth. Syst. Gov.,12,,,,10.1016/j.esg.2022.100143,,#71,Tye 2022,"",""
Water-food-energy nexus for transboundary cooperation in Eastern Africa,"Elsayed, H.; Djordjevic, S.; Savic, D.; Tsoukalas, I.; Makropoulos, C.","Establishing cooperation in transboundary rivers is challenging especially with the weak or non-existent river basin institutions. A nexus-based approach is developed to explore cooperation opportunities in transboundary river basins while considering system operation and coordination under uncertain hydrologic river regimes. The proposed approach is applied to the Nile river basin with a special focus on the Grand Ethiopian Renaissance Dam (GERD), assuming two possible governance positions: with or without cooperation. A cooperation mechanism is developed to allocate additional releases from the GERD when necessary, while a unilateral position assumes that the GERD is operated to maximize hydropower generation regardless of downstream users’ needs. The GERD operation modes were analysed considering operation of downstream reservoirs and varying demands in Egypt. Results show that average basin-wide hydropower generation is likely to increase by about 547 GWh/year (1%) if cooperation is adopted when compared to the unilateral position. In Sudan, hydropower generation and water supply are expected to enhance in the unilateral position and would improve further with cooperation. Furthermore, elevated low flows by the GERD are likely to improve the WFE nexus outcomes in Egypt under full cooperation governance scenario with a small reduction in GERD hydropower generation (2,000 GWh/year (19%)). © 2022 The Authors",2022,,Water Supply,22,4,3567-3587,,10.2166/ws.2022.001,,#72,Elsayed 2022,"",""
Integrating Social-Ecological and Political-Ecological Models of Agrobiodiversity With Nutrient Management of Keystone Food Spaces to Support SDG 2,"Zimmerer, K.S.; Jones, A.D.; de Haan, S.; Creed-Kanashiro, H.; Tubbeh, R.M.; Hultquist, C.; Tello Villavicencio, M.N.; Plasencia Amaya, F.; Nguyen, K.T.","Agrobiodiversity—the biodiversity of food, agriculture, and land use—is essential to U.N. Sustainable Development Goal 2 by providing crucial food and nutritional quality of diets combined with strengthening agroecological sustainability. Focusing on the agrobiodiversity nexus to SDG 2, the current study utilized the interdisciplinary Agrobiodiversity Knowledge Framework (AKF), household-level surveys, and biodiversity sampling of crop fields and home gardens in a case study in Huánuco, Peru, in 2017. Statistical measures estimated agrobiodiversity of crop fields (n = 268 households) and home gardens (n=159 households) based on species richness (3.7 and 10.2 species/household, in fields and gardens, respectively) and evenness (Shannon diversity index; 0.70 and 1.83 in fields and gardens, respectively). Robust results of Poisson and OLS regression models identified several AKF-guided determinants of agrobiodiversity. Estimated species richness and evenness were significantly associated with 12 social-ecological and political-ecological factors from the four AKF thematic axes: farm characteristics and agroecology; diets and nutrition; markets, governance and sociocultural practices; and global change. This study's AKF approach, agrobiodiversity modeling, agroecological characterization, and field-based case study advanced a series of useful research insights, comparisons, and conceptual innovations to address SDG 2. Characterization of nutrient management through soil- and plant-focused cultural practices and livelihood roles distinguished the “keystone agrobiodiversity-and-food space” of multi-species maize fields (maizales) identified in AKF regression and characterization results. This key space furnished crucial food-nutrition and agroecological benefits that can be expanded by overcoming identified barriers. AKF-guided models incorporating key agrobiodiversity-and-food spaces and ecological nutrient management are needed to strengthen SDG 2 strategies. Copyright © 2022 Zimmerer, Jones, de Haan, Creed-Kanashiro, Tubbeh, Hultquist, Tello Villavicencio, Plasencia Amaya and Nguyen.",2022,,Front. Sustain. food Syst.,6,,,,10.3389/fsufs.2022.734943,,#78,Zimmerer 2022,"",""
Assessing the Nexus on Local Perspective: A Quali-Quantitative Framework for Water-Energy-Food Security Evaluation in Neglected Territories,"de Souza, R.C.S.; Turetta, A.P.D.; Bonatti, M.; Sieber, S.","There is limited focus on the water-energy-food (WEF) nexus approach at the local scale, particularly considering the social contexts of neglected territories. To contribute to this debate, we propose a framework to address this topic in an area in Angra dos Reis, Rio de Janeiro State, Brazil, as a case study. A survey was conducted regarding residents’ perceptions, choices, practices and access to water, energy, and food. The interviews highlighted important topics on the WEF nexus. As a result, a set of 12 indicators with data available on official datasets was proposed, reflecting residents’ perceptions of WEF safety. For each indicator, thresholds were established based mainly on the goals defined by Brazilian policies across different spheres—federal, state, or municipal. Thus, each indicator is multi-scale and integrative, since it comprises a local perspective (from the interview results), an official perspective (from the official databases), and a threshold. The results showed problems with energy and water supply, and the presence of home cropping, contrasting with residents who do not have access to basic food and experience extreme poverty. All these elements drew attention to the possibility of applying the WEF nexus approach, searching for feasible solutions which can support better decisions and governance in neglected territories. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022,,Water,14,5,,,10.3390/w14050731,,#83,deSouza 2022,"",""
