CovidenceID,Title,name,value
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,PaperType,Review
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,PaperType,Empirical
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Region,Southern Asia
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Scale,National (whole country)
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Nexus,Biodiversity
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Nexus,Climate change
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Nexus,Health
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Nexus,Food
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Nexus,Water
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,NChallenge,Complexity Challenges
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,NChallenge,Governance Challenges
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Gov,Community Governance
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Policy,Legal and Regulatory Instruments
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Actors,Private Sector and Business Organisations
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Actors,Media and the Arts
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Actors,Financial Institutions
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Actors,Civil Society and Community-Based Organisations
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Actors,Knowledge and Educational Communities
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Actors,Civil Society and Community-Based Organisations
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Actors,Local/National Governments and Municipalities
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,CrossCut,Poverty
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,CrossCut,ILK
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Scaling,No
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers,Policy design & Implementation
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers,Finance & Economics
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers,Behaviour & Lifestyle
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers,Technology
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers,Material & Non-material endowments
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers_CritC5,Social acceptability (#4)
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers_CritC5,Alignment with political priorities (#5)
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers_CritC5,NA
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers_CritC5,Transformative change potential (#10)
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Enablers_CritC5,Technical feasibility (#7)
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Barriers,Policy design & Implementation
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Barriers,Institutional capacity
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Barriers,Finance & Economics
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Barriers,Material & Non-material endowments
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Barriers_CritC5,NA
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Barriers_CritC5,Equity (#8)
#2621,Natural and traditional defense mechanisms to reduce climate risks in coastal zones of Bangladesh,Barriers_CritC5,Transformative change potential (#10)
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,PaperType,Review
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Region,Western Europe
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Scale,National (whole country)
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Nexus,Biodiversity
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Nexus,Climate change
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Nexus,Food
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Nexus,Water
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,NChallenge,Complexity Challenges
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,NChallenge,Governance Challenges
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Gov,NA
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Policy,Legal and Regulatory Instruments
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Actors,Global/Regional Institutions and Science-Policy Interfaces
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Actors,Local/National Governments and Municipalities
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,CrossCut,Economy
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,CrossCut,Energy
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Scaling,No
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Enablers,Policy design & Implementation
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Enablers,Finance & Economics
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Enablers_CritC5,Alignment with international frameworks (#9)
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Enablers_CritC5,NA
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers,Policy design & Implementation
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers,Institutional capacity
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers,Finance & Economics
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers_CritC5,Impacts on each nexus element (#3)
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers_CritC5,NA
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers_CritC5,Alignment with international frameworks (#9)
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers_CritC5,Equity (#8)
#2620,Understanding the integration of ecosystem services and natural capital in Scottish policy,Barriers_CritC5,Transformative change potential (#10)
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",PaperType,Review
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",PaperType,Empirical
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Region,Southern Asia
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Scale,Subnational >100 km² (watershed)
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Nexus,Biodiversity
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Nexus,Climate change
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Nexus,Health
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Nexus,Food
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Nexus,Water
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",NChallenge,NA
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Gov,Community Governance
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Policy,Legal and Regulatory Instruments
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Actors,Civil Society and Community-Based Organisations
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",CrossCut,Equity
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",CrossCut,Poverty
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",CrossCut,ILK
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",CrossCut,Land
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Scaling,NA
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Enablers,Finance & Economics
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Enablers,Behaviour & Lifestyle
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Enablers,Technology
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Enablers_CritC5,Economic implications (#6)
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Enablers_CritC5,Transformative change potential (#10)
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Enablers_CritC5,Technical feasibility (#7)
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Barriers,Policy design & Implementation
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Barriers,Finance & Economics
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Barriers,Material & Non-material endowments
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Barriers_CritC5,Social acceptability (#4)
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Barriers_CritC5,NA
#2617,"Assessment of flood recession farming for livelihood provision, food security and environmental sustainability in the Ganga River Basin",Barriers_CritC5,Equity (#8)
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",PaperType,Review
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",PaperType,Empirical
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",PaperType,Modelling
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Region,Southern Asia
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Scale,Site <1 km² (field to farm)
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Nexus,Climate change
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Nexus,Food
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Nexus,Water
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",NChallenge,Complexity Challenges
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Gov,NA
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Policy,NA
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Actors,Civil Society and Community-Based Organisations
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Actors,Local/National Governments and Municipalities
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",CrossCut,Energy
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Scaling,No
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Enablers,Behaviour & Lifestyle
#2614,"Food, Energy, and Water Nexus at Household Level: Do Sustainable Household Consumption Practices Promote Cleaner Environment?",Enablers_CritC5,Transformative change potential (#10)
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,PaperType,Empirical
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Region,Eastern Europe
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Region,Northern Europe
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Region,Southern Europe
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Region,Western Europe
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Scale,"Regional (multiple countries, whole continents)"
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Nexus,Biodiversity
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Nexus,Climate change
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Nexus,Health
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Nexus,Food
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Nexus,Water
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,NChallenge,Scaling Challenges
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Gov,NA
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Policy,NA
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Actors,Private Sector and Business Organisations
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Actors,Civil Society and Community-Based Organisations
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Actors,Knowledge and Educational Communities
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Actors,IPLCs
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Actors,Civil Society and Community-Based Organisations
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Actors,Global/Regional Institutions and Science-Policy Interfaces
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,CrossCut,NA
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Scaling,No
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Enablers,Institutional capacity
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Enablers_CritC5,Equity (#8)
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Enablers_CritC5,Transformative change potential (#10)
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Barriers,Institutional capacity
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Barriers,Finance & Economics
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Barriers_CritC5,Equity (#8)
#2613,Barriers and opportunities of soil knowledge to address soil challenges: Stakeholders’ perspectives across Europe,Barriers_CritC5,NA
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,PaperType,Empirical
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Region,Central Asia
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Region,Eastern Europe
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Scale,Subnational >100 km² (watershed)
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Nexus,Biodiversity
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Nexus,Climate change
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Nexus,Food
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,NChallenge,Complexity Challenges
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Gov,NA
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Policy,NA
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Actors,NA
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,CrossCut,NA
#2612,Uncovering ecological regime shifts in the Sea of Marmara and reconsidering management strategies,Scaling,No
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,PaperType,Modelling
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Region,Eastern Asia
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Scale,Subnational >100 km² (watershed)
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Nexus,Biodiversity
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Nexus,Climate change
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Nexus,Food
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Nexus,Water
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,NChallenge,Governance Challenges
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,NChallenge,Financing Challenges
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Gov,NA
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Policy,Legal and Regulatory Instruments
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Actors,Private Sector and Business Organisations
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Actors,Civil Society and Community-Based Organisations
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Actors,Global/Regional Institutions and Science-Policy Interfaces
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Actors,Local/National Governments and Municipalities
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,CrossCut,Economy
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Scaling,Yes
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers,Policy design & Implementation
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers,Finance & Economics
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers,Behaviour & Lifestyle
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers,Technology
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers,Material & Non-material endowments
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers_CritC5,Impacts on each nexus element (#3)
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers_CritC5,NA
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers_CritC5,Alignment with political priorities (#5)
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers_CritC5,Economic implications (#6)
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers_CritC5,Transformative change potential (#10)
#2609,A policy-driven large scale ecological restoration: Quantifying ecosystem services changes in the loess plateau of China,Enablers_CritC5,Technical feasibility (#7)
#2607,Irrigation efficiency and water-policy implications for river basin resilience,PaperType,Review
#2607,Irrigation efficiency and water-policy implications for river basin resilience,PaperType,Conceptual/theoretical
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Region,Latin America and the Caribbean
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Region,Northern America
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Region,Southern Europe
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Scale,Subnational >100 km² (watershed)
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Nexus,Biodiversity
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Nexus,Food
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Nexus,Water
#2607,Irrigation efficiency and water-policy implications for river basin resilience,NChallenge,Complexity Challenges
#2607,Irrigation efficiency and water-policy implications for river basin resilience,NChallenge,Values Challenges
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Gov,NA
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Policy,Legal and Regulatory Instruments
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Actors,Civil Society and Community-Based Organisations
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Actors,Local/National Governments and Municipalities
#2607,Irrigation efficiency and water-policy implications for river basin resilience,CrossCut,NA
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Scaling,No
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Enablers,Finance & Economics
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Enablers,Technology
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Enablers,Material & Non-material endowments
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Enablers_CritC5,NA
#2607,Irrigation efficiency and water-policy implications for river basin resilience,Enablers_CritC5,Technical feasibility (#7)
#2606,Tackling complexity: Understanding the food-energy-environment nexus in Ethiopia's lake TANA sub-basin,PaperType,Empirical
#2606,Tackling complexity: Understanding the food-energy-environment nexus in Ethiopia's lake TANA sub-basin,PaperType,Modelling
#2606,Tackling complexity: Understanding the food-energy-environment nexus in Ethiopia's lake TANA sub-basin,Region,Sub-Saharan Africa
#2606,Tackling complexity: Understanding the food-energy-environment nexus in Ethiopia's lake TANA sub-basin,Scale,Subnational >100 km² (watershed)
#2606,Tackling complexity: Understanding the food-energy-environment nexus in Ethiopia's lake TANA sub-basin,Nexus,Biodiversity
#2606,Tackling complexity: Understanding the food-energy-environment nexus in Ethiopia's lake TANA sub-basin,Nexus,Climate change
